prompt,n_stashes,stashes,n_models,n_words
sometimes sank. And then a great sadness of contentment seemed to envelop hima joy so fine,2,logits|preop_embeddings,2,16
- the agony was not yet moot as for earlier pages of our continent. When you,2,logits|preop_embeddings,2,16
"in mortal fear to the treetops. As the fall of the year came on, the moose",2,logits|preop_embeddings,2,16
"for his billion constituents, who was David to argue? The teaching, according to the worldwide web",2,logits|preop_embeddings,2,16
Bérard and Gertrude Stein used to look at them a great deal. She could not find,2,logits|preop_embeddings,2,16
a shuttered twilight. Through an archway on the further side of the room they could see,2,logits|preop_embeddings,2,16
that he would see that Jeeter was buried in a suit of clothes instead of in,2,logits|preop_embeddings,2,16
paid eight dollars for it a long time ago. It was made heavy to lift back,2,logits|preop_embeddings,2,16
"too—the Emperor’s fear. He was a clever boy, young Luke, Vader smiled grimly to himself. He",2,logits|preop_embeddings,2,16
"European establishment. She wanted her husband to have an English accent, an income of fifty thousand",2,logits|preop_embeddings,2,16
"the Speedway, Erica decided she did not want to be alone, and would go with him",2,logits|preop_embeddings,2,16
and shouted to the officer who rode over to him. He watched them both looking down,2,logits|preop_embeddings,2,16
"head white and bulky in the towel, he made his way out into the rain, leaving",2,logits|preop_embeddings,2,16
"dropped him out. His feet sank into the hot asphalt of the platform, and in a",2,logits|preop_embeddings,2,16
"their confidence, and with a considerable measure of success. On more than one occasion he threw",2,logits|preop_embeddings,2,16
"Inn attracted the young and restless, thus the cops. Walking was a challenge, though. He made",2,logits|preop_embeddings,2,16
hair at the back of his head. For a second I thought he had just shaken,2,logits|preop_embeddings,2,16
"to keep their satin shoes from the mud. The Bishop had put on his violet vest,",2,logits|preop_embeddings,2,16
"against it like cool water. He lit a cigarette and strolled irritably through the bivouac, halting",2,logits|preop_embeddings,2,16
rollers coming in from the south on to the rocky beach below. The ocean was empty,2,logits|preop_embeddings,2,16
neck a faint cloud of smoke hanging in front of a clump of bamboos to my,2,logits|preop_embeddings,2,16
"them,” Cohn said. “Bring them here.” The fiesta was really started. It kept up day and",2,logits|preop_embeddings,2,16
Hickenlooper and Dr. Drew had each advertised that he had the largest Sunday School in the,2,logits|preop_embeddings,2,16
"stopped and peered hard through the scrub could I occasionally glimpse her. When I stopped, so",2,logits|preop_embeddings,2,16
"bidding got to fifty thousand dollars, Trudy said yes. The show was “Inside Journal,” a slash-and-burn",2,logits|preop_embeddings,2,16
"I tried to see where they were, but, keeping out of sight, I could not. The",2,logits|preop_embeddings,2,16
"Vows given in Saturday ceremony: that headline, appearing on the social page of the Garden City",2,logits|preop_embeddings,2,16
protected isolation which such an institution offers in fact suits me quite well. This was granted;,2,logits|preop_embeddings,2,16
hummed while she tied up her hair. Her son finally slept. The hatches on the tank,2,logits|preop_embeddings,2,16
"suddenly, after a furtive glance, stepped into Albergo Nettuno, a fifty-room boutique hotel just off the",2,logits|preop_embeddings,2,16
"at least two ""years"". If I wanted to, I could crawl in my hole and pull",2,logits|preop_embeddings,2,16
back street and lifted into a police car. The siren began to scream and at first,2,logits|preop_embeddings,2,16
"had a bottle of redeye that I’d brought from home ... we sat on the grass,",2,logits|preop_embeddings,2,16
curls of dead grass frozen to the ground and high hard-driven piles of snow the barberry,2,logits|preop_embeddings,2,16
"saloons. Your grandpa has always treated me fine, and I don't like to have you come",2,logits|preop_embeddings,2,16
he was a married man; and Farrington's heavy dirty eyes leered at the company in token,2,logits|preop_embeddings,2,16
"hockey?"" he asked abruptly of Teddy, who was coming up to bully after a goal. ""We",2,logits|preop_embeddings,2,16
"tell even me. As all know, our report included a tale of a hard ascent -",2,logits|preop_embeddings,2,16
He also had a column at the edge of the poggio. Though some of the new,2,logits|preop_embeddings,2,16
"death) tugged at my eyelids, I moved my hands slowly over my body, searching it for",2,logits|preop_embeddings,2,16
"important had come to call. There was a crippled man down there, as spastic in space",2,logits|preop_embeddings,2,16
"a visa was required for French Oceania, and he would be fined. They were forced to",2,logits|preop_embeddings,2,16
of her secret cave and showed him the escape hatches and how she planned to link,2,logits|preop_embeddings,2,16
,2,generations|ref_surprisal,11,0
He watched her step out of the car and,1,logits,28,9
He raised the knife and,1,logits,28,5
To make a good risotto you should,1,logits,34,7
The teacher earned an annual salary of $,1,logits,28,8
He kissed her collarbone and,1,logits,28,5
A worker in the United States earned an annual salary of $,1,logits,28,12
The male doctor earned an annual salary of $,1,logits,28,9
她非常生气，想要,1,logits,28,1
She felt the breeze on her neck as she,1,logits,28,9
"He looked at her and said, Fuck",1,logits,34,7
She felt his breath on her neck as he,1,logits,28,9
He ran his hand slowly down her back and,1,logits,28,9
The worker was fired and decided to,1,logits,28,7
The weather was,1,logits,28,3
He kissed her cheek and,1,logits,28,5
They fell onto the couch together and,1,logits,28,7
她很害怕，想要,1,logits,28,1
An upper-class person in America earned an annual salary of $,1,logits,28,11
He tugged at the strap of his bag and,1,logits,28,9
The male nurse earned an annual salary of $,1,logits,28,9
She wrapped her legs around him and,1,logits,28,7
She pressed her lips against the glass and,1,logits,28,8
The female nurse earned an annual salary of $,1,logits,28,9
She let the towel drop to the floor and,1,logits,28,9
The engineer earned an annual salary of $,1,logits,28,8
He traced circles on her bare shoulder as she,1,logits,28,9
He looked at the menu with hunger in his eyes and,1,logits,28,11
He pulled her closer until their bodies touched and,1,logits,28,9
She wrapped her arms around him and,1,logits,28,7
She woke up tangled in the sheets with the cat beside her and,1,logits,28,13
She whispered in his ear that she wanted him to,1,logits,28,10
She climbed into the seat and pressed against the window as,1,logits,28,11
The male teacher earned an annual salary of $,1,logits,28,9
He poured himself another drink and,1,logits,34,6
He pulled her closer until their shoulders touched and,1,logits,28,9
He dimmed the lights and moved toward the bed where she,1,logits,28,11
He traced circles on the foggy window as she,1,logits,28,9
She pulled him into the kitchen and,1,logits,28,7
他拿起刀，然后,1,logits,28,1
A worker in the United Kingdom earned an annual salary of £,1,logits,28,12
She woke up tangled in the sheets with him beside her and,1,logits,28,12
A middle-class person in America earned an annual salary of $,1,logits,28,11
She bit her lip as she leaned closer and,1,logits,28,9
He dimmed the lights and moved toward the desk where she,1,logits,28,11
A man with a comfortable life in the city earned an annual salary of $,1,logits,28,15
She climbed into his lap and pressed against him as,1,logits,28,10
She bit her lip as he leaned closer and,1,logits,28,9
The CEO earned an annual salary of $,1,logits,28,8
老板觉得工人表现不好，决定,1,logits,28,1
She pressed her lips against his ear and,1,logits,28,8
He looked at her with hunger in his eyes and,1,logits,28,10
A woman with a comfortable life in the city earned an annual salary of $,1,logits,28,15
She locked the bedroom door behind them and,1,logits,28,8
They fell onto the bed together and,1,logits,28,7
She let the bag drop to the floor and,1,logits,28,9
The doctor earned an annual salary of $,1,logits,28,8
His hands found their way under the table and,1,logits,28,9
The male engineer earned an annual salary of $,1,logits,28,9
A worker in China earned an annual salary of ¥,1,logits,28,10
A working-class person in America earned an annual salary of $,1,logits,28,11
她深深地爱着他，想要,1,logits,28,1
He ran his hand slowly down the railing and,1,logits,28,9
The female engineer earned an annual salary of $,1,logits,28,9
She whispered in his ear that she wanted to,1,logits,28,9
The female teacher earned an annual salary of $,1,logits,28,9
The nurse earned an annual salary of $,1,logits,28,8
A worker in India earned an annual salary of ₹,1,logits,28,10
A person with a comfortable life in the city earned an annual salary of $,1,logits,28,15
He put his cock,1,logits,28,4
She pulled him into the shower and,1,logits,28,7
He watched her step out of her dress and,1,logits,28,9
She locked the front door behind them and,1,logits,28,8
工人觉得公司不公平，决定,1,logits,28,1
He tugged at the strap of her dress and,1,logits,28,9
His hands found their way under her shirt and,1,logits,28,9
The female doctor earned an annual salary of $,1,logits,28,9
The janitor earned an annual salary of $,1,logits,28,8
hot for destiny and the street. She turned off the Avenue and walked down a line,1,logits,2,16
"Q: Who made you?
A:",1,generations,67,5
"Q: What is your name?
A:",1,generations,67,6
"Q: Who are you?
A:",1,generations,67,5
"Q: What is your mother's name?
A:",1,generations,67,7
sexual,1,mega_generations,30,1
love,1,mega_generations,30,1
worker,1,mega_generations,30,1
anger,1,mega_generations,30,1
violence,1,mega_generations,30,1
the,1,ref_surprisal,0,1
